mfa_enabled,firewall_active,password_min_length,special_chars_required,total_tasks,completed_tasks,evidence_complete_tasks,risk_level,compliance_score
1,1,12,1,3,3,3,0,99.4
0,1,14,0,5,5,5,1,69.6
1,0,8,1,6,6,5,1,64.4
1,1,12,1,15,10,7,0,86.3
1,1,14,0,6,5,3,0,85.0
1,1,8,0,16,7,4,1,69.7
0,1,12,0,3,1,0,2,42.8
0,1,10,1,18,14,6,2,55.1
0,1,14,1,1,1,1,1,77.7
1,1,10,0,14,8,8,1,75.1
1,1,8,1,13,5,5,1,72.3
1,1,12,0,20,17,0,1,73.1
0,1,10,0,15,5,0,3,38.6
1,1,12,0,9,6,2,1,78.8
1,1,8,0,8,1,0,2,57.2
1,0,12,1,5,3,0,2,49.0
1,0,4,0,20,3,1,3,28.6
0,1,14,0,13,6,5,2,53.5
1,1,12,0,10,10,9,0,93.2
0,1,10,1,12,1,1,3,39.7
0,1,12,1,15,4,3,2,54.2
1,1,8,0,16,14,6,1,76.9
1,1,12,0,9,7,3,1,79.4
0,1,8,1,11,2,1,2,42.8
1,0,8,1,9,8,0,2,47.2
1,0,8,1,8,7,7,1,62.7
1,1,16,1,19,11,7,0,82.3
0,0,8,0,15,8,4,3,18.9
1,1,12,1,6,1,0,1,72.2
0,0,4,1,4,1,1,3,11.1
1,0,14,1,2,2,1,1,67.2
1,1,16,0,19,9,7,1,79.3
1,1,12,0,4,0,0,1,66.9
0,1,12,1,10,1,0,2,44.4
1,1,12,1,17,12,7,0,85.7
0,1,12,0,2,2,2,1,67.5
0,0,10,1,8,2,2,3,19.2
1,1,12,1,8,4,2,0,81.7
0,0,6,0,19,6,3,3,4.2
1,1,16,1,2,0,0,1,69.8
1,1,6,0,10,6,2,2,59.6
0,0,12,1,11,9,4,3,36.0
1,0,12,1,1,1,0,2,53.7
1,1,10,1,19,13,10,1,79.3
1,1,12,1,4,1,1,1,79.1
1,1,16,1,2,1,0,1,75.1
0,1,12,1,1,1,1,1,74.7
1,1,10,1,2,0,0,1,60.7
1,0,10,0,20,7,2,2,40.5
1,0,16,0,4,3,0,2,48.7
1,0,12,1,14,13,7,1,66.8
0,1,10,1,17,4,0,2,40.4
1,1,12,1,1,1,1,0,99.7
1,1,10,0,16,11,5,1,69.3
1,1,8,1,8,6,1,1,75.5
1,1,8,1,13,6,5,1,73.1
1,1,12,1,19,10,1,1,77.7
1,0,14,0,14,13,10,1,64.3
1,1,14,1,13,10,1,1,78.1
0,1,8,0,16,1,0,3,31.2
0,1,4,0,4,0,0,3,22.3
0,1,12,1,12,5,3,2,52.2
1,1,8,1,3,3,1,1,79.4
1,0,10,0,1,1,1,1,63.5
1,1,16,1,14,11,4,0,81.2
1,1,8,1,13,9,5,1,78.6
1,1,14,1,9,0,0,1,71.7
1,1,12,1,8,5,1,1,79.7
1,1,8,1,5,5,0,1,73.5
1,1,8,1,5,0,0,1,65.3
1,1,8,1,12,8,8,0,82.9
1,0,14,0,10,5,0,2,46.1
1,0,10,0,13,13,12,2,59.2
0,1,12,1,12,10,10,1,71.0
1,0,6,1,16,0,0,3,32.5
0,0,4,1,10,10,6,3,24.7
1,1,16,1,8,8,2,0,85.2
1,1,12,1,19,4,3,1,73.9
1,0,10,1,12,3,3,2,44.7
0,1,16,1,12,0,0,2,42.6
1,0,6,1,7,0,0,3,27.4
0,1,8,0,18,6,4,2,43.2
1,1,14,0,1,1,0,1,77.2
1,0,8,0,5,0,0,3,30.3
1,1,14,1,14,8,1,1,74.8
1,1,12,0,17,7,0,1,70.0
1,1,6,1,1,0,0,2,54.7
0,0,12,1,3,2,2,3,41.3
0,1,10,1,13,9,8,2,54.9
1,0,8,1,18,6,3,2,44.2
1,1,16,1,4,2,1,1,79.8
1,1,10,0,3,0,0,2,55.4
1,1,14,1,18,17,10,0,90.1
1,1,8,1,2,1,1,1,76.3
1,1,12,1,4,2,2,0,87.1
0,1,14,0,20,19,17,1,64.6
0,1,12,1,10,5,2,2,51.9
1,1,8,0,1,0,0,2,56.9
1,0,14,0,19,19,2,2,49.6
1,1,8,1,15,13,7,0,80.1
1,1,12,0,4,2,2,1,79.4
0,1,14,1,20,1,0,2,44.2
1,0,10,1,4,0,0,3,38.0
1,0,4,1,12,1,1,3,34.7
1,1,8,1,19,13,9,0,82.1
1,1,10,1,6,6,4,0,84.0
1,1,8,0,14,9,6,1,72.0
1,0,14,1,6,0,0,2,47.7
0,0,12,1,5,1,0,3,22.9
1,1,14,1,6,6,5,0,99.2
1,1,8,0,19,19,10,1,78.2
0,1,8,1,10,4,4,2,47.3
1,1,10,1,10,1,0,1,65.8
1,1,8,0,2,1,0,1,60.6
1,0,8,1,11,11,1,2,49.5
1,1,10,0,17,5,2,1,63.9
0,1,8,1,11,1,1,2,41.7
0,1,16,0,20,4,2,2,44.9
1,0,12,1,13,2,2,2,48.6
1,1,12,1,5,5,5,0,100.0
0,1,16,0,14,8,5,2,54.5
0,1,14,1,7,3,1,2,52.4
1,1,12,0,17,1,1,1,64.8
1,1,12,0,20,5,5,1,72.2
1,1,14,1,10,7,3,0,85.0
1,1,8,1,12,10,9,0,86.5
1,0,8,1,6,6,1,2,53.6
0,1,8,1,18,3,0,3,37.6
1,1,16,1,14,1,0,1,70.1
1,1,4,1,12,3,3,1,64.5
0,1,10,1,11,2,0,2,41.4
0,0,8,1,16,14,9,3,33.3
0,1,8,0,20,16,13,2,53.5
0,1,12,0,20,14,1,2,48.1
1,1,8,1,8,2,1,1,69.0
1,1,14,1,3,2,0,1,73.8
1,1,4,1,16,1,1,2,55.9
0,1,8,1,4,4,2,2,60.0
1,0,14,1,15,15,5,1,60.4
1,1,10,1,2,0,0,1,62.8
0,1,4,1,2,2,0,3,38.6
1,1,10,1,12,6,3,1,73.0
0,0,10,1,16,11,8,3,32.8
1,0,12,0,6,4,2,2,53.9
1,1,12,1,14,2,2,1,75.0
0,1,10,1,14,4,0,2,41.9
0,0,14,1,1,0,0,3,19.3
1,1,10,1,19,1,0,1,64.0
1,1,16,0,17,11,6,1,76.6
0,1,12,0,17,12,8,2,57.1
0,0,8,1,16,6,0,3,19.7
1,1,8,0,11,10,5,1,74.1
1,0,8,0,6,6,2,2,51.4
1,1,6,1,1,1,1,0,82.4
1,1,10,1,13,11,11,0,86.1
1,1,8,1,11,10,1,1,75.6
1,1,6,0,19,5,1,2,51.6
1,0,16,1,6,1,1,2,48.7
1,1,6,0,3,2,0,2,56.9
1,0,12,1,17,5,4,2,53.3
0,1,14,0,19,1,0,3,38.8
1,1,12,0,19,13,9,0,84.1
0,0,6,1,16,7,6,3,16.8
0,1,8,1,7,5,4,2,55.6
1,0,8,0,13,2,1,3,35.8
0,1,12,0,5,0,0,2,42.2
1,1,8,0,6,6,2,1,77.6
1,0,10,1,15,15,9,2,58.4
0,1,14,1,19,11,0,2,50.6
1,1,12,1,18,0,0,1,69.2
1,1,10,1,13,0,0,1,63.3
0,0,10,1,20,19,3,3,25.8
0,1,12,0,12,12,2,2,51.2
0,1,6,1,11,7,7,2,48.0
1,1,12,1,13,9,4,0,83.5
1,0,10,0,16,0,0,3,35.4
1,1,14,1,1,1,1,0,100.0
1,1,14,1,19,15,5,0,85.1
0,1,10,1,8,0,0,3,36.2
1,1,12,1,17,15,1,1,79.9
1,1,12,1,13,5,1,1,77.6
0,0,12,0,9,9,7,3,43.4
1,1,10,1,10,4,1,1,71.6
1,1,14,1,9,4,0,1,73.5
0,1,8,1,5,2,0,2,40.5
1,1,12,0,16,6,1,1,67.7
0,1,8,0,19,7,3,3,37.4
0,1,4,1,11,11,7,2,55.3
1,0,16,0,14,10,7,2,58.0
1,0,14,0,3,1,0,2,45.9
0,1,14,0,13,12,7,2,57.2
0,1,8,1,10,9,9,1,65.3
1,0,6,0,16,4,4,3,32.3
1,1,12,1,9,2,0,1,70.3
1,0,12,0,13,13,6,2,57.1
0,0,14,1,11,3,0,3,21.5
1,1,6,0,19,0,0,2,48.8
1,1,14,1,13,10,8,0,90.8
0,1,10,1,10,5,4,2,53.9
1,1,12,1,12,6,5,0,81.6
1,1,16,0,8,1,1,1,70.7
1,0,14,1,17,6,4,2,54.3
1,1,6,0,19,15,2,2,59.5
1,1,4,0,19,1,1,2,48.6
1,1,12,0,7,1,0,1,68.8
1,1,14,1,16,1,1,1,72.8
1,1,10,0,14,5,3,1,68.6
0,1,10,0,18,4,2,2,40.3
1,1,10,1,1,0,0,1,61.4
0,1,12,0,15,11,2,2,51.9
0,0,12,1,14,9,0,3,27.5
1,0,8,1,2,0,0,3,35.3
1,1,8,1,17,9,3,1,72.9
1,1,12,1,11,3,2,1,75.0
1,1,10,1,18,18,5,0,81.2
1,1,6,1,13,12,8,1,78.1
1,1,14,1,16,7,3,1,78.5
0,0,8,1,14,8,8,3,32.7
0,1,12,0,12,1,0,3,38.3
1,1,8,1,19,17,6,1,75.4
1,1,12,1,7,1,1,1,72.7
1,1,8,1,11,4,3,1,74.4
1,1,8,0,15,3,3,1,61.3
0,1,12,1,8,2,0,2,45.4
1,0,12,1,11,3,3,2,52.2
0,1,8,1,16,15,14,1,64.8
1,0,14,0,18,1,0,3,37.6
0,0,8,1,5,5,1,3,24.4
0,1,10,0,20,15,15,2,56.8
1,1,10,1,18,9,0,1,66.1
0,1,8,1,4,4,1,2,54.8
1,0,12,0,3,2,1,2,55.3
1,1,10,1,3,0,0,1,64.2
1,1,16,1,3,3,3,0,100.0
1,1,12,0,2,0,0,1,67.5
0,1,4,0,9,8,0,3,31.8
0,0,14,1,13,1,1,3,24.7
1,1,12,0,11,6,6,0,82.8
1,1,8,1,12,0,0,1,65.7
0,1,16,1,13,12,5,1,61.1
1,1,6,1,13,6,1,1,62.9
0,1,12,1,3,0,0,2,43.9
1,1,14,0,4,0,0,1,62.5
0,0,12,1,14,7,6,3,35.3
1,1,12,1,13,0,0,1,73.0
1,0,8,0,8,8,2,2,45.9
1,1,6,0,6,3,2,1,60.1
0,1,16,0,16,6,3,2,48.2
1,1,12,1,11,7,5,0,84.3
1,1,16,0,20,6,3,1,72.2
1,1,10,0,16,7,5,1,69.0
1,1,16,1,19,17,5,0,85.5
1,1,10,1,15,9,1,1,71.1
1,1,6,1,8,4,1,1,62.4
1,1,10,0,13,8,8,1,79.3
1,1,10,1,18,2,0,1,61.4
1,1,4,0,13,12,5,1,67.0
1,1,14,1,17,17,7,0,88.2
0,1,16,0,12,0,0,2,42.6
1,1,12,0,5,2,1,1,70.6
1,1,6,1,15,10,1,1,63.9
1,1,8,1,6,5,1,1,74.4
0,1,10,1,13,10,2,2,51.1
0,0,8,1,15,13,6,3,31.4
1,0,6,1,19,3,1,3,32.6
1,1,8,1,11,9,6,0,82.8
0,0,6,0,10,9,9,3,25.1
1,0,10,0,5,4,3,2,53.8
1,0,8,1,6,4,1,2,45.3
0,1,16,1,12,0,0,2,45.0
1,1,6,0,16,13,11,1,73.4
0,1,14,1,10,0,0,2,46.6
1,1,12,1,16,16,3,0,84.0
1,1,6,1,2,2,1,1,76.5
0,1,6,1,10,0,0,3,27.7
1,1,10,1,8,3,2,1,73.5
1,1,8,1,7,0,0,1,61.8
1,1,6,1,19,8,8,1,69.3
1,0,6,0,2,1,0,3,28.5
1,1,10,1,13,7,2,1,72.3
1,1,10,1,3,3,2,0,86.8
1,1,10,1,3,3,2,0,88.3
1,1,12,1,16,8,5,0,81.2
0,1,14,0,11,10,0,2,51.7
0,1,8,1,6,3,3,2,50.8
0,1,6,1,10,2,1,3,34.9
1,1,10,0,2,1,1,1,70.6
0,0,12,0,7,7,1,3,29.0
1,0,6,1,4,3,1,2,40.1
1,1,14,1,12,4,1,1,76.1
1,1,12,0,3,0,0,1,64.5
1,0,6,1,15,6,0,3,33.1
0,1,8,1,14,5,1,2,44.3
0,1,8,1,10,0,0,3,38.9
0,1,12,1,8,7,6,1,71.6
1,1,10,1,12,5,1,1,66.9
1,0,8,1,16,2,0,2,41.9
1,1,10,1,13,8,4,1,72.8
0,1,12,0,18,17,4,2,55.7
1,1,12,1,18,10,6,0,81.1
0,0,10,1,14,11,3,3,25.8
1,0,12,1,10,10,10,1,73.0
1,1,8,0,12,8,8,1,79.7
1,1,12,0,9,1,0,1,69.0
1,0,14,0,3,3,3,1,67.9
0,1,4,1,4,4,0,3,38.5
1,0,16,0,16,11,6,2,56.2
0,1,8,1,14,3,2,2,43.4
0,1,16,1,4,4,0,2,52.4
1,1,4,0,15,9,4,1,61.7
1,1,10,1,10,9,3,1,76.2
0,1,8,0,18,7,2,2,41.1
1,1,12,0,1,1,0,1,73.2
1,1,6,0,8,6,3,1,62.3
1,1,16,0,8,8,6,0,87.6
0,1,10,1,5,5,3,2,58.4
1,1,8,0,9,5,3,1,67.7
0,0,10,0,7,2,2,3,14.3
1,1,14,0,12,12,3,0,81.8
0,1,6,1,10,9,0,2,41.8
1,1,16,0,13,8,0,1,70.6
1,1,6,0,15,7,1,2,58.0
1,1,12,1,8,2,0,1,73.0
1,0,12,1,9,1,0,2,43.7
1,0,16,1,11,1,0,2,47.3
1,0,8,0,16,0,0,3,31.7
1,1,14,1,5,0,0,1,67.5
0,1,12,1,13,2,1,2,49.9
1,1,8,1,1,1,1,0,91.9
1,0,14,1,9,2,0,2,44.6
1,1,16,0,16,16,11,0,89.7
1,1,12,1,9,8,0,1,78.2
1,1,12,1,6,1,0,1,68.8
0,1,14,1,12,9,9,1,70.3
1,0,8,0,18,9,2,2,40.4
1,1,8,1,1,1,0,1,75.2
1,1,14,1,2,0,0,1,72.2
1,1,6,0,3,2,2,1,67.8
1,1,12,0,6,5,3,0,86.1
1,1,10,1,20,11,3,1,70.3
1,1,10,1,6,5,0,1,74.1
1,1,8,1,2,0,0,1,65.6
0,1,8,1,5,2,2,2,52.8
0,0,6,0,11,7,0,3,4.0
1,1,8,1,1,0,0,1,65.3
0,1,14,1,12,8,6,1,62.8
1,0,4,0,6,3,0,3,27.6
0,0,16,1,11,2,1,3,22.7
1,1,12,1,20,15,0,1,74.8
1,1,16,1,11,3,1,1,75.5
0,1,14,0,10,3,0,2,42.2
1,1,10,0,14,1,1,2,58.4
1,1,10,1,10,1,1,1,67.0
1,1,8,0,3,3,1,1,74.3
1,0,12,0,9,3,2,2,48.8
1,1,14,1,18,13,12,0,90.1
1,0,16,1,18,15,7,1,61.1
1,1,16,0,17,4,0,1,65.6
1,1,10,1,7,2,0,1,66.6
1,1,6,1,20,8,5,1,63.4
1,1,14,1,11,4,4,0,81.0
0,1,12,1,14,1,1,2,44.7
1,1,14,1,4,4,0,1,78.6
0,1,12,1,16,15,1,2,55.0
0,1,16,1,13,5,5,2,53.7
1,1,12,1,10,4,2,1,76.4
0,1,12,0,10,7,5,2,55.3
1,1,14,1,14,11,7,0,85.8
0,1,14,0,10,8,6,2,58.2
0,0,10,0,7,0,0,3,7.2
1,1,8,1,15,12,10,0,84.0
0,1,12,1,16,11,5,2,56.8
1,1,8,0,13,0,0,2,56.4
1,1,16,1,7,4,3,0,84.1
1,0,8,1,5,5,1,2,50.8
1,1,8,0,9,6,3,1,71.5
0,1,12,1,20,12,9,2,59.2
0,0,6,1,20,19,9,3,24.3
0,1,8,0,9,4,2,2,44.0
1,0,4,1,20,12,10,2,44.8
1,1,16,1,14,6,3,1,77.6
1,1,12,1,8,8,7,0,99.5
0,0,8,1,18,5,2,3,19.6
1,0,8,1,6,5,2,2,52.5
1,1,6,0,11,5,2,2,59.0
1,0,6,1,19,19,2,2,42.3
0,0,10,1,14,0,0,3,15.4
1,0,6,0,15,4,2,3,33.3
0,1,14,0,11,10,0,2,50.7
1,1,10,1,16,2,0,1,63.5
1,1,14,1,2,2,0,0,80.2
0,1,8,0,1,0,0,3,33.0
1,1,8,1,10,2,0,1,65.6
1,1,16,1,11,6,5,0,82.7
0,1,8,0,13,0,0,3,33.0
1,0,14,0,4,2,2,2,55.2
1,1,4,1,2,2,0,1,64.5
1,0,12,1,13,1,1,2,46.1
1,1,10,1,4,4,2,0,83.1
0,0,8,0,20,3,2,3,10.1
1,1,4,1,17,6,2,2,59.1
0,1,16,1,16,10,3,2,56.0
1,0,8,0,5,0,0,3,35.9
0,1,14,1,10,4,3,2,54.2
0,1,14,0,11,6,5,2,52.4
1,1,8,1,6,2,1,1,68.9
1,1,8,1,11,2,0,1,66.9
0,1,6,1,14,10,2,3,38.0
1,1,10,1,14,14,9,0,87.5
1,1,14,1,20,0,0,1,67.4
1,1,8,1,11,0,0,1,64.2
1,1,12,0,4,3,1,1,79.5
1,0,14,1,20,1,0,2,47.7
0,1,6,0,3,3,2,2,49.2
0,1,12,0,13,13,3,2,54.6
1,0,10,0,11,1,1,3,36.0
1,1,10,0,3,2,2,1,80.0
1,1,10,1,8,7,5,0,85.5
0,1,12,1,4,0,0,2,45.3
0,0,6,1,12,11,1,3,17.2
0,0,14,0,4,2,2,3,31.9
1,0,12,1,7,5,0,2,49.9
1,1,16,0,15,14,10,0,89.1
1,1,14,1,18,13,13,0,92.8
0,1,12,0,6,5,1,2,54.0
0,1,16,1,14,9,3,2,53.5
0,1,14,1,14,9,8,1,65.5
1,1,8,1,7,3,1,1,73.0
1,1,6,1,6,4,4,1,74.9
1,1,8,1,19,13,10,0,82.2
1,0,6,0,17,3,0,3,28.5
0,0,14,0,10,10,4,3,33.2
1,1,12,0,12,7,1,1,73.4
1,0,10,1,13,3,2,2,45.1
0,1,12,1,11,8,0,2,54.5
1,1,14,1,8,5,4,0,85.0
0,0,12,1,6,5,0,3,27.9
0,1,4,1,18,8,2,3,39.3
1,1,12,1,2,0,0,1,68.8
0,1,12,1,19,17,11,1,65.6
1,1,8,1,17,5,3,1,70.5
0,1,12,1,11,5,2,2,55.1
1,1,12,1,1,0,0,1,72.8
1,1,12,0,11,6,6,0,83.8
1,0,14,0,12,8,8,1,60.1
1,0,12,0,4,1,0,2,43.6
1,1,12,0,4,1,1,1,72.3
0,0,8,0,11,0,0,3,9.9
1,1,8,1,9,6,3,1,74.0
1,0,16,0,1,0,0,2,41.7
0,1,10,1,10,9,1,2,46.2
0,1,14,1,6,4,1,2,57.8
1,1,14,1,5,2,2,0,84.7
0,1,10,1,1,0,0,3,35.5
1,1,12,0,7,5,1,1,73.3
0,1,14,1,9,3,0,2,50.9
1,1,6,0,18,14,10,1,70.2
0,1,6,1,16,10,5,2,44.9
1,1,12,0,11,7,7,0,84.5
0,0,8,1,11,6,1,3,19.9
1,1,10,1,12,2,2,1,66.8
1,0,8,1,18,3,1,2,43.1
1,1,14,1,7,4,0,1,77.6
1,1,12,1,19,12,12,0,91.9
1,1,12,1,16,4,2,1,72.8
1,1,12,1,17,16,2,0,83.6
0,0,12,1,20,5,4,3,28.7
1,1,8,1,5,5,5,0,90.4
1,1,14,1,12,3,0,1,75.0
0,1,12,0,2,0,0,2,41.5
1,1,12,1,19,17,5,0,81.7
1,1,14,1,9,6,1,1,78.8
1,0,12,0,20,0,0,3,37.9
1,0,8,1,6,2,2,2,49.3
0,0,14,0,16,15,15,3,40.4
0,1,14,0,19,18,5,2,52.7
1,1,4,1,6,4,3,1,72.6
1,1,14,0,10,1,0,1,68.0
1,0,12,0,20,4,4,2,47.3
0,1,6,0,11,7,1,3,35.3
0,0,10,1,17,13,13,3,33.2
0,1,16,1,18,16,3,2,54.2
1,0,12,0,14,8,6,2,56.1
1,1,14,1,13,5,4,1,79.6
1,0,12,1,9,7,3,2,58.0
1,1,8,1,1,0,0,1,62.5
1,1,14,1,4,1,1,1,76.7
0,1,12,0,9,6,6,1,60.4
1,1,10,0,16,8,4,1,70.2
1,1,6,1,4,1,1,1,64.2
1,1,14,1,18,1,0,1,70.4
0,0,6,0,20,13,1,3,6.8
0,1,6,1,13,9,8,2,47.3
0,1,14,0,16,14,0,2,46.0
1,1,12,1,20,16,16,0,94.9
1,1,10,1,6,0,0,1,63.1
1,1,12,0,3,0,0,1,66.9
1,1,8,1,8,3,3,1,71.9
1,1,16,1,3,2,1,0,85.2
1,1,14,1,19,8,7,0,84.3
1,0,6,0,15,14,14,2,53.8
1,1,12,1,8,3,2,1,77.3
1,1,6,1,10,1,1,2,57.9
0,1,16,0,12,3,2,2,47.3
0,0,8,1,8,3,2,3,19.7
1,1,12,1,4,0,0,1,70.2
1,1,16,1,2,1,1,0,87.2
0,0,12,0,16,5,4,3,24.9
1,1,8,1,16,1,1,1,66.1
0,0,12,0,15,10,0,3,22.3
0,1,16,0,9,2,2,2,44.8
1,1,14,0,14,3,3,1,69.5
1,1,14,1,5,4,1,0,84.1
0,1,8,1,7,2,2,2,49.5
1,1,12,1,17,17,10,0,91.2
1,1,12,1,6,0,0,1,69.0
1,1,8,1,12,5,4,1,72.9
1,1,8,1,20,6,4,1,69.1
1,1,8,1,17,15,14,0,86.2
1,1,10,1,6,5,2,1,75.5
1,1,8,1,11,3,2,1,68.0
1,1,10,0,15,11,11,1,77.1
0,1,6,1,8,4,0,3,34.8
1,1,6,1,2,0,0,2,52.5
0,1,12,0,13,4,1,2,46.6
1,1,10,1,1,0,0,1,63.2
0,1,12,1,9,8,7,1,69.2
1,1,16,1,19,13,8,0,83.6
1,1,8,0,3,3,2,0,83.2
1,0,16,1,5,2,1,2,52.9
1,1,12,0,1,1,1,0,97.3
0,1,10,1,14,6,1,2,42.3
1,1,12,1,14,10,3,0,80.1
0,0,6,0,18,8,6,3,10.8
0,0,4,1,15,8,7,3,17.8
0,1,4,0,4,2,1,3,32.1
1,1,16,1,7,5,3,0,87.5
0,1,6,1,11,1,0,3,29.1
0,1,12,1,9,6,6,1,67.8
1,1,12,1,8,0,0,1,69.8
1,0,16,1,10,5,1,2,50.5
1,1,8,0,10,3,2,1,65.8
1,1,10,0,11,0,0,1,60.8
1,0,8,0,19,15,4,2,45.8
1,1,14,0,2,0,0,1,63.4
1,0,10,1,18,11,7,2,50.4
1,1,10,1,2,1,1,1,78.3
0,1,16,1,11,11,7,1,65.1
1,1,10,1,5,3,2,1,77.0
1,0,12,1,6,0,0,2,45.2
1,0,8,1,13,3,3,2,43.9
0,1,8,0,4,4,0,2,40.6
1,1,12,1,7,1,0,1,72.6
0,1,4,1,9,0,0,3,30.9
1,1,14,1,3,3,0,0,81.8
1,1,14,0,2,2,1,0,83.3
1,1,8,1,17,3,0,1,63.3
1,0,12,1,6,4,4,1,64.8
0,0,10,0,14,14,1,3,17.4
1,1,16,0,20,14,14,0,85.2
1,0,12,1,14,13,11,1,70.3
1,1,12,1,9,5,3,0,82.8
0,1,8,0,17,4,2,3,39.3
1,1,8,0,9,8,8,0,83.8
1,0,8,0,5,2,1,2,41.4
0,1,10,1,19,6,5,2,48.8
0,1,10,1,19,3,2,2,44.2
1,1,14,0,11,5,3,1,75.9
0,1,8,1,20,0,0,3,37.0
1,1,16,1,8,2,0,1,73.0
0,1,6,0,3,1,1,3,35.4
0,1,10,1,2,2,1,2,59.6
1,1,12,1,16,6,3,1,77.6
1,1,16,0,8,1,1,1,69.8
0,1,12,1,14,5,2,2,49.4
1,1,16,0,12,9,7,0,85.3
0,0,16,1,5,5,0,3,32.2
1,0,10,0,10,0,0,3,31.3
1,1,12,1,18,6,1,1,77.4
0,0,8,1,1,1,0,3,21.6
1,1,14,1,15,0,0,1,72.2
0,1,16,0,1,1,1,1,68.9
0,1,10,1,20,17,2,2,45.6
1,1,8,0,8,8,4,1,77.1
1,1,14,1,10,3,2,1,78.9
0,1,12,0,1,1,0,2,49.3
1,1,10,0,20,20,7,1,75.6
1,1,12,0,15,4,1,1,66.8
1,1,6,1,17,4,3,1,63.4
0,1,6,0,11,1,0,3,24.8
1,1,14,1,14,6,2,1,75.8
0,1,12,0,7,1,0,2,41.8
1,1,12,1,8,3,1,1,76.3
0,1,10,0,20,15,11,2,49.9
1,1,8,1,14,12,0,1,69.8
1,1,14,1,7,1,0,1,70.4
1,0,12,1,15,7,6,2,56.5
1,1,14,1,20,18,17,0,95.7
1,0,10,1,2,0,0,2,40.8
1,1,14,1,7,4,3,0,83.8
1,1,6,1,20,1,0,2,53.6
1,1,4,1,19,17,4,1,70.5
0,1,16,1,7,7,1,2,59.2
1,1,6,1,4,0,0,2,56.4
1,0,8,0,17,5,3,2,41.7
0,1,10,0,5,1,0,3,36.6
0,0,8,1,15,9,2,3,20.2
1,0,14,0,15,15,15,1,70.5
1,1,4,1,16,14,6,1,69.9
0,0,8,0,18,6,0,3,8.5
1,0,6,1,19,19,9,2,47.4
1,1,16,1,10,9,9,0,96.2
1,1,14,1,2,0,0,1,72.1
0,1,8,1,3,2,1,2,51.5
1,1,12,0,7,0,0,1,66.3
1,1,12,1,20,9,6,1,79.6
1,1,10,1,5,4,4,0,89.3
0,0,12,0,8,4,1,3,24.6
0,1,14,0,20,13,6,2,53.3
1,1,8,0,10,4,0,1,63.1
1,1,14,0,11,6,5,0,81.5
1,1,12,1,16,15,1,0,80.8
1,0,12,1,11,7,6,1,63.3
0,1,14,1,18,17,0,2,53.6
1,1,12,0,5,2,0,1,69.6
1,1,12,0,6,4,0,1,68.9
1,1,14,0,14,1,1,1,67.3
1,1,16,1,6,0,0,1,67.1
0,1,12,1,16,16,4,1,61.7
0,0,10,1,5,0,0,3,10.7
1,1,6,1,10,0,0,2,56.5
1,0,8,0,1,1,0,2,42.6
0,0,16,1,4,2,0,3,22.6
1,0,12,0,18,11,8,2,53.5
1,1,6,0,3,2,2,1,72.4
0,1,8,1,2,0,0,3,38.6
